Position,Team,xPts,ActualPts,Difference
1,Arsenal,68.74734841801902,74,-5.2526515819809845
2,Man City,65.29917482882138,71,-5.7008251711786215
3,Liverpool,64.35997925260543,84,-19.640020747394573
4,Bournemouth,58.03149519853491,56,2.0314951985349126
5,Newcastle,56.0985515768956,66,-9.901448423104398
6,Chelsea,55.989252822172034,69,-13.010747177827966
7,Crystal Palace,55.77627947895201,53,2.776279478952013
8,Nott'm Forest,54.05019847817344,65,-10.949801521826558
9,Brentford,53.70019206359954,56,-2.2998079364004624
10,Tottenham,53.64329273693092,38,15.643292736930917
11,Man United,53.47164025950062,42,11.471640259500617
12,Aston Villa,53.09225902148147,66,-12.907740978518532
13,Fulham,52.029969469417225,54,-1.9700305305827754
14,Brighton,50.71265439065766,61,-10.287345609342339
15,Everton,48.082465424904875,48,0.08246542490487485
16,Wolves,47.01035585443482,42,5.01035585443482
17,West Ham,45.39470602776551,43,2.3947060277655083
18,Leicester,42.71065898827871,25,17.71065898827871
19,Ipswich,40.152514034749224,22,18.152514034749224
20,Southampton,38.90580047824376,12,26.905800478243762
