,Expected_Points,Std_Points,Title_Prob,Top4_Prob,Relegation_Prob
Arsenal,68.7199,7.976729079684295,0.3537,0.7819,0.0007
Man City,65.3027,8.009112766014091,0.1938,0.6419,0.0029
Liverpool,64.5767,7.977347987777129,0.1683,0.6073,0.002
Bournemouth,58.0326,7.950877868882692,0.0427,0.2785,0.0166
Chelsea,56.1261,8.018280867667787,0.0286,0.2138,0.0328
Newcastle,56.0653,7.9587291728645155,0.0265,0.2017,0.0319
Crystal Palace,55.7564,7.981066895025896,0.0235,0.1933,0.0335
Nott'm Forest,54.0015,8.04652548664582,0.0159,0.1435,0.0543
Brentford,53.7114,7.982147675165551,0.0134,0.132,0.057
Tottenham,53.668,8.009955801325868,0.0136,0.1332,0.056
Man United,53.4521,8.014831834975347,0.0143,0.1286,0.0611
Aston Villa,52.9464,7.982173798524747,0.0121,0.1181,0.0687
Fulham,51.8948,8.008242388602849,0.0088,0.0942,0.0831
Brighton,50.6815,7.964860428793779,0.0056,0.0714,0.1103
Everton,48.1149,7.7455211122125265,0.0013,0.0376,0.1737
Wolves,47.0036,7.8907042373501834,0.0017,0.029,0.2163
West Ham,45.3791,7.749631531168878,0.0006,0.0167,0.2789
Leicester,42.7679,7.807542850509131,0.0004,0.0081,0.4119
Ipswich,40.1802,7.596334536461581,0.0001,0.0039,0.5385
Southampton,38.8725,7.535855801583933,0.0001,0.0022,0.6164
